Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,ARG,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,115","73,492",,,,"86,5182","88,08","89,03",
Argentina,ARG,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,9057","75,1706",,,,"87,8221","88,69","89,44",
Argentina,ARG,Individuos que utilizan Internet (% de la población),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"0,00299","0,0295","0,0437","0,0863","0,142","0,28","0,831","3,28","7,04","9,78","10,9","11,9",16,"17,7","20,9","25,9","28,1",34,45,51,"55,8","59,9","64,7",68,71,"74,3","77,7","79,9","85,5","87,2","88,4","89,2",
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,1404,2643,3117,3837,5317,32040,71731,83320,135647,167248,231834,240087,248239,
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,89785703","33,6443277","62,68719439","73,19916149","89,18263453","122,2945128","729,8353431","1619,61597","1865,865416","3016,156305","3700,834872","5116,36128","5287,339402","5451,201504",
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000,148000,259000,543000,927000,1580000,2600000,3110000,3510000,4030000,4570000,5150000,6250000,6520000,6860000,7250000,7840000,8470000,8790000,9570000,10500000,11200000,11500000,
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,249835","0,389173","0,67366","1,3986","2,36307","3,99704","6,49728","7,70515","8,59391","9,75627","10,956","12,2115","14,6798","15,153","15,7689","16,5185","17,7082","18,9759","19,5519","21,1798","23,15","24,6832","25,3581",
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46590,112000,241163,405395,667020,2009073,2670862,3848869,6490000,6740000,6570000,7840000,13500000,22200000,31500000,40400000,46500000,52500000,57100000,60700000,64300000,67400000,61200000,61800000,63700000,61900000,58600000,56400000,54800000,59100000,59700000,62700000,
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,007150459","0,036767345","0,075515553","0,13879172","0,329148059","0,6992523","1,160057586","1,884803688","5,609433289","7,371312411","10,50082052","17,5015229","17,98746665","17,33333812","20,48748472","34,94389378","56,70883514","79,81991978","101,3182303","115,4815533","128,9999606","138,8859542","146,2467408","153,3349717","158,9154655","142,9902363","142,9639551","145,9179567","140,5014607","131,9371685","125,9409814","121,6001889","130,4550081","132,3578095",,
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,914656,914656,914656,914656,914656,1100000,1100000,1100000,1100000,1100000,1287000,1287000,1287000,1287000,1287000,1651000,1678000,1692000,1728000,1797000,1879000,2199000,2361350,2271525,2599607,2710894,2859209,2965970,3175756,3084000,3026732,3131235,3594533,3982435,4986887,5714158,6262637,6826799,7095464,7223168,7894210,8131440,7708570,8603870,8760570,9441670,9459790,9500000,9742830,9768140,9914210,9722530,9455640,9662080,9822470,10073100,10164800,9744370,9764010,7757240,7356170,7626360,7040870,7034210,
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,"4,494680621","4,46571","4,46571","4,46571","4,46571","4,987833993","4,96398","4,96398","4,96398","4,96398","5,397855277","5,38932","5,38932","5,38932","5,38932","6,380538731","6,382592608","6,333809742","6,365550349","6,514614524","6,704775052","7,723571311","8,164330917","7,732288548","8,714098395","8,950652013","9,298746865","9,501303688","10,02106858","9,587833226","9,24","9,42","10,7","11,7","14,4","16,3","17,6",19,"19,5","19,6","21,2","21,6","20,3","22,4","22,6","24,1","23,9","23,7","24,1","23,9",24,"23,3","22,4","22,7","22,8","23,2","23,2",22,"21,9","17,2","16,3","16,8","15,5","15,4",
