moneda_base,moneda_destino,valor_compra,valor_venda,timestamp
BTC,BRL,472849,472851,2025-03-31 23:59:39
BTC,BRL,478417,478418,2025-03-30 23:59:35
BTC,BRL,479771,479772,2025-03-29 23:59:29
BTC,BRL,489498,489499,2025-03-28 23:59:48
BTC,BRL,502034,502040,2025-03-27 23:59:32
BTC,BRL,500281,500323,2025-03-26 23:59:39
BTC,BRL,500522,500523,2025-03-25 03:05:18
BTC,BRL,505132,505189,2025-03-24 23:59:37
BTC,BRL,495000,495003,2025-03-23 23:59:15
BTC,BRL,483658,483659,2025-03-22 23:59:43
BTC,BRL,484213,484214,2025-03-21 23:59:36
BTC,BRL,478890,478900,2025-03-20 23:59:38
BTC,BRL,491766,491767,2025-03-19 23:59:57
BTC,BRL,471536,471537,2025-03-18 23:59:28
BTC,BRL,479269,479407,2025-03-17 23:59:16
BTC,BRL,477946,477986,2025-03-16 23:59:40
BTC,BRL,487361,487409,2025-03-15 23:59:44
BTC,BRL,485212,485256,2025-03-14 23:59:35
BTC,BRL,471549,471647,2025-03-13 23:59:40
BTC,BRL,486604,486605,2025-03-12 23:59:28
BTC,BRL,483999,484000,2025-03-11 23:59:40
BTC,BRL,462300,462318,2025-03-10 23:59:28
BTC,BRL,472607,472616,2025-03-09 23:59:34
BTC,BRL,503360,503433,2025-03-08 23:59:23
BTC,BRL,505700,505886,2025-03-07 23:59:28
BTC,BRL,521473,521544,2025-03-06 23:59:47
BTC,BRL,523624,523697,2025-03-05 23:59:31
BTC,BRL,514144,514201,2025-03-04 23:59:46
BTC,BRL,511807,511818,2025-03-03 23:59:38
BTC,BRL,558281,558311,2025-03-02 23:59:24
BTC,BRL,509646,509738,2025-03-01 23:59:46
